Rank,Module,Class,Kind,PmdSmells,LOC,NCSS,Methods,Path
1411,openjpa-persistence,AbsExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/AbsExpression.java
1412,openjpa-persistence,AverageExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/AverageExpression.java
1413,openjpa-persistence,ConcatExpression,class,0,36,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/ConcatExpression.java
1414,openjpa-persistence,CountExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/CountExpression.java
1415,openjpa-persistence,DistinctExpression,class,0,37,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/DistinctExpression.java
1416,openjpa-persistence,DividedByExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/DividedByExpression.java
1417,openjpa-persistence,EntryExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/EntryExpression.java
1418,openjpa-persistence,IndexExpression,class,0,36,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/IndexExpression.java
1419,openjpa-persistence,KeyExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/KeyExpression.java
1420,openjpa-persistence,LengthExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/LengthExpression.java
1421,openjpa-persistence,LiteralExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/LiteralExpression.java
1422,openjpa-persistence,LowerExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/LowerExpression.java
1423,openjpa-persistence,MaxExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/MaxExpression.java
1424,openjpa-persistence,MinExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/MinExpression.java
1425,openjpa-persistence,MinusExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/MinusExpression.java
1426,openjpa-persistence,OpenJPAQueryBuilder,interface,0,46,7,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/OpenJPAQueryBuilder.java
1427,openjpa-persistence,PlusExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/PlusExpression.java
1428,openjpa-persistence,SizeExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/SizeExpression.java
1429,openjpa-persistence,SquareRootExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/SquareRootExpression.java
1430,openjpa-persistence,SumExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/SumExpression.java
1431,openjpa-persistence,TimesExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/TimesExpression.java
1432,openjpa-persistence,TypeExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/TypeExpression.java
1433,openjpa-persistence,UnaryMinusExpression,class,0,37,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/UnaryMinusExpression.java
1434,openjpa-persistence,UpperExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/UpperExpression.java
1435,openjpa-persistence,ValueExpression,class,0,35,7,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/ValueExpression.java
1436,openjpa-jdbc,UpdateManager,interface,0,44,6,0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/UpdateManager.java
1437,openjpa-kernel,DataCacheStoreMode,enum,0,43,6,0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DataCacheStoreMode.java
1438,openjpa-kernel,Parameter,interface,0,39,6,0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Parameter.java
1439,openjpa-kernel,CollectionChangeTracker,interface,0,42,6,0,openjpa-kernel/src/main/java/org/apache/openjpa/util/CollectionChangeTracker.java
